"","654392","654408","654406","654402","654405","654409","654410","654403","654393","654394","654395","654396","654407","654404"
"1",5.498,28.895,49.263,4.972,60.38,344.296,20.183,52.071,3.377,3.013,2.765,3.652,64.226,99.59
"2",71.36,152.844,93.532,16.782,7.625,240.485,399.703,71.672,6.578,7.282,15.75,4.625,90.016,20.11
"3",5.457,5.097,4.506,5.514,4.151,5.311,5.336,5.462,2.653,8.061,4.115,3.832,3.341,4.335
"4",8.969,21.47,17.95,16.178,10.939,36.277,158.088,7.741,12.286,6.112,9.405,7.923,19.901,8.321
"5",8.506,9.019,5.816,12.32,6.296,7.721,9.14,117.796,10.01,5.584,6.996,6.301,16.642,91.918
"6",9.033,7.036,6.786,10.481,9.214,9.655,5.815,12.423,6.186,6.784,7.091,5.716,6.591,6.525
"7",13.113,88.047,90.087,78.724,3.054,389.421,NA,79.196,2.425,4.679,4.498,10.102,156.547,5.285
"8",3.685,3.645,3.272,3.002,3.75,9.312,4.093,3.489,4.124,11.179,6.023,3.569,4.523,6.291
"9",18.508,36.779,61.489,8.786,65.551,218.541,258.395,181.379,6.245,6.031,5.256,4.241,94.473,151.989
"10",417.805,57.632,70.699,102.579,NA,NA,367.684,113.246,8.516,249.682,65.37,57.378,84.127,188.597
"11",7.159,6.57,9.892,5.395,15.156,10.682,9.772,17.684,6.396,3.548,9.595,9.643,9.506,18.58
"12",86.392,7.28,11.569,7.801,13.465,13.554,20.694,10.43,5.717,6.539,6.506,4.492,12.257,9.233
"13",4.667,33.216,69.977,3.046,56.813,193.694,143.861,24.977,3.636,3.18,3.254,3.372,106.245,78.492
"14",5.995,77.851,190.067,3.252,177.362,238.253,402.574,382.704,2.917,3.111,3.121,5.632,NA,248.366
"15",46.974,7.381,80.396,9.349,7.115,4.756,11.927,42.224,18.334,11.037,6.131,12.146,9.052,8.318
"16",93.534,17.342,72.425,11.962,8.532,11.91,6.708,38.278,21.882,63.294,17.7,66.909,25.273,58.507
"17",4.642,47.027,4.602,5.048,5.524,220.765,NA,3.962,4.135,5.518,5.768,5.056,NA,6.043
"18",NA,NA,NA,62.433,NA,NA,NA,79.491,35.603,258.172,43.487,38.037,NA,NA
"19",35.349,11.755,13.396,26.755,59.927,11.943,6.193,59.88,17.693,17.74,21.365,27.24,7.661,55.708
"20",13.887,14.863,8.283,18.149,7.647,8.205,16.967,70.561,11.528,12.19,9.045,8.328,10.149,7.508
"21",141.978,13.89,13.17,3.582,6.508,4.601,17.697,27.881,7.281,20.97,13.674,9.257,7.106,11.761
"22",19.275,143.648,6.726,569.344,330.101,NA,471.546,213.868,6.012,4.998,33.125,7.884,84.311,334.719
"23",4,5.379,9.177,4.543,7.614,5.358,5.846,11.351,4.691,3.859,3.538,4.318,4.42,9.528
"24",5.215,5.027,6.277,6.558,9.074,15.183,2.918,6.621,4.558,8.512,7.137,5.168,6.433,4.855
"25",8.983,5.391,5.573,4.189,3.897,7.546,6.76,7.619,5.94,5.166,3.842,4.358,3.541,8.908
"26",12.318,42.977,185.881,24.614,NA,NA,5.275,32.92,16.728,16.295,43.459,14.355,236.273,81.264
"27",7.817,3.703,3.046,7.796,4.615,6.887,175.159,10.949,4.795,7.043,25.352,5.601,4.302,10.383
"28",NA,65.963,3.201,61.903,27.355,17.818,3.493,63.939,2.564,201.411,256.257,173.522,52.08,1.62
"29",2.647,5.883,5.88,5.609,4.212,35.52,4.656,12.65,4.779,3.612,5.136,3.991,7.674,7.973
"30",24.749,83.007,110.931,6.451,52.519,290.258,513.937,161.353,4.577,5.001,15.412,5.536,130.702,150.961
"31",25.206,2.648,2.801,4.43,6.872,4.93,22.022,3.784,3.656,3.4,2.456,2.976,4.864,6.184
"32",14.574,147.674,257.186,429.147,159.915,NA,60.334,537.482,6.732,5.176,4.582,3.872,127.227,567.802
"33",9.377,51.299,197.236,10.111,351.908,341.565,213.299,13.627,8.44,5.893,299.33,35.658,63.455,9.127
"34",4.172,44.267,82.593,4.539,115.266,NA,271.336,56.018,2.744,3.166,3.429,3.957,95.948,89.455
"35",34.564,338.1,249.658,69.751,207.351,380.285,NA,102.466,52.3,12.749,77.662,54.04,59.313,412.089
"36",2.794,5.93,4.768,5.189,4.564,4.602,4.453,7.827,4.877,10.058,3.953,6.064,5.645,4.469
"37",5.428,9.687,17.751,28.717,10.65,9.728,38.095,18.033,8.399,17.314,10.329,11.128,23.029,8.498
"38",5.297,94.96,9.345,7.278,8.121,2.851,6.982,28.83,2.962,3.226,2.831,19.5,6.785,6.707
"39",190.182,8.488,6.269,19.308,7.162,8.008,5.366,11.883,11.49,24.146,11.46,18.977,8.36,36.711
"40",4.659,4.712,7.616,5.428,37.935,5.228,6.315,34.383,4.175,3.901,3.218,3.862,27.727,NA
"41",12.6,4.137,13.686,9.554,4.981,5.157,36.284,14.898,42.776,3.787,7.385,4.169,7.555,8.441
"42",6.502,40.159,400.105,5.508,225.515,361.683,334.946,11.804,4.894,4.84,5.34,10.814,58.259,5.25
"43",507.149,463.907,498.581,NA,NA,39.12,11.217,228.157,86.416,133.47,61.405,NA,NA,NA
"44",5.315,5.282,10.397,6.103,6.758,7.155,26.592,38.41,5.255,7.246,2.455,3.423,5.354,5.976
