"","659347","659341","659339","659355","659344","659329","659340","659327","659342","659325","659346","659331","659351","659330","659338","659333","659336","659354","659332","659324","659349","659328","659345","659348","659326","659337","659352","659350","659353","659343","659356"
"1",5.803,9.182,9,1.886,6.744,8.552,7.978,6.71,5.652,7.279,3.708,5.828,2.709,7.781,13.535,11.949,15.598,1.603,29.908,13.066,29.948,11.774,4.966,3.446,7.78,12.588,1.766,6.392,1.949,4.964,2.502
"2",11.406,10.75,7.937,7.031,9.218,10.75,8.125,6.625,5.843,9.843,3.516,7.188,15.859,12.765,9.172,22.188,10.156,14.937,70.359,10.985,36.5,14.75,5.406,10.078,24.734,16.875,9.281,15.375,16.563,3.328,21.75
"3",26.084,4.023,7.309,11.509,17.181,8.251,7.62,7.617,4.542,7.846,3.175,6.942,1.288,15.311,33.032,6.72,9.119,10.295,24.463,109.982,1.655,21.589,7.015,2.565,6.194,8.751,2.918,2.398,20.758,3.254,6.601
"4",2.31,30.071,13.603,1.693,1.81,6.126,14.41,5.237,2.315,8.797,2.613,2.94,1.803,4.033,24.407,32.856,34.358,1.86,43.879,12.812,1.708,32.417,2.18,2.027,4.105,26.046,1.807,1.729,1.78,2.203,8.971
"5",2.118,2.455,4.691,18.122,1.376,1.742,7.628,5.844,2.526,7.324,2.558,2.798,1.926,2.336,10.302,1.247,1.894,26.488,1.158,33.04,2.414,4.147,2.622,3.245,6.021,1.439,1.935,2.365,2.294,1.358,9.157
"6",5.156,4.922,4.234,4.86,7.75,13.204,6.375,7.312,4.86,5.438,4.547,8.61,5.828,5.312,3.39,16.828,9.625,4.875,12.735,8.015,6,4.172,5.344,4.625,8.968,10.156,7.531,4.11,4.563,6.328,10.578
"7",0.879,6.496,3.261,1.55,2.485,11.078,9.833,5.739,5.156,7.234,1.183,2.821,0.942,7.593,11.433,14.3,9.41,1.047,5.602,36.035,0.475,31.639,3.852,0.806,3.933,7.507,0.998,1.284,0.982,2.637,2.606
"8",0.755,1.622,18.722,1.703,3.492,11.134,3.704,5.256,1.968,6.036,1.192,4.326,15.345,7.693,21.491,4.718,9.181,2.128,34.301,40.769,11.497,13.047,3.841,0.858,4.451,11.002,3.827,11.555,0.687,13.656,1.804
"9",8.943,5.386,6.856,14.835,6.403,10.438,7.49,8.318,17.079,11.576,19.725,6.721,17.611,9.164,271.185,27.315,12.818,12.707,49.482,91.917,25.015,18.504,16.649,2.737,5.064,15.194,8.803,13.273,3.194,6.2,28.729
"10",1.474,4.789,11.218,2.843,2.863,24.337,17.643,7.092,3.578,7.173,1.986,4.595,1.19,10.283,25.211,6.93,7.627,1.309,7.368,10.084,1.363,9.909,4.275,1.406,5.117,5.411,1.282,1.586,1.083,1.379,1.597
"11",2.618,8.294,6.543,1.025,1.466,10.186,6.834,6.226,3.059,6.476,1.882,12.513,2.017,7.187,15.903,7.083,13.551,1.011,63.393,7.878,0.961,36.508,1.215,2.349,4.751,13.126,1.008,0.838,1.021,35.832,9.991
"12",3.252,5.086,4.167,5.471,3.535,4.711,3.423,9.292,4.234,5.243,4.1,7.051,3.318,5.161,4.191,4.105,4.302,2.144,5.106,6.413,3.579,4.574,9.527,3.626,6.074,3.763,5.855,2.146,2.444,3.579,3.23
"13",NA,NA,NA,NA,NA,10.746,NA,9.524,NA,6.788,NA,8.132,NA,7.856,8.562,9.678,10.67,NA,8.203,16.336,NA,16.261,NA,NA,5.663,12.263,NA,NA,NA,NA,NA
"14",4.569,1.614,1.926,1.245,1.285,5.634,4.621,3.556,17.995,20.779,3.532,4.184,1.953,5.047,10.104,9.946,9.443,1.605,10.769,43.676,2.428,6.829,2.558,1.355,5.516,6.575,1.796,2.311,1.76,5.967,1.769
"15",1.841,1.249,1.057,1.108,1.036,4.514,1.082,75.557,1.074,7.953,2.114,7.017,1.002,5.265,5.136,9.178,23.585,1.321,8.497,14.09,1.557,6.353,1.082,1.649,4.537,16.986,20.4,0.738,1.599,1.312,1.354
"16",NA,11.005,7.65,NA,1.517,8.5,11.815,5.148,3.005,11.847,1.467,4.02,NA,5.581,5.23,3.756,7.536,NA,3.971,10.559,NA,6.322,1.91,NA,4.82,5.51,NA,NA,NA,2.414,NA
"17",7.162,29.011,4.346,11.218,11.394,10.41,5.488,20.826,28.274,28.395,11.466,5.249,32.403,12.058,32.548,5.946,10.691,3.49,4.698,22.078,6.521,10.553,16.875,8.394,24.298,6.377,9.994,6.232,4.801,40.349,41.572
"18",NA,11.575,10.624,NA,13.465,8.729,7.032,5.408,6.718,9.136,25.913,9.112,NA,5.96,20.992,6.257,12.617,NA,19.16,15.808,NA,25.497,11.264,NA,6.895,7.648,NA,NA,NA,6.336,NA
"19",6.315,14.242,14.175,5.928,13.653,9.272,8.539,7.743,8.377,6.38,5.65,16.868,4.286,15.23,23.183,4.854,6.9,8.928,38.383,10.263,48.009,16.493,11.869,5.779,8.489,14.214,3.294,3.246,2.89,11.429,15.392
"20",10.89,27.987,2.882,3.491,19.331,13.051,6.249,9.162,17.546,17.162,12.915,9.577,15.922,7.522,14.65,6.457,7.121,0.857,11.259,16.649,14.22,24.955,10.817,3.363,7.979,13.602,7.481,10.658,2.042,9.498,7.225
"21",1.237,2.622,5.034,1.552,1.591,9.133,11.078,8.245,2.718,7.761,1.502,5.031,1.045,5.744,11.714,9.918,12.263,1.584,16.495,16.792,2.456,20.653,1.366,1.023,7.099,12.683,7.656,1.166,2.23,1.448,5.863
"22",NA,8.102,9.858,NA,5.087,12.327,6.106,6.538,6.984,11.291,NA,8.885,NA,5.198,11.104,6.186,7.559,NA,8.11,11.512,NA,9.409,NA,NA,3.802,18.195,NA,NA,NA,6.574,NA
"23",0.738,21.435,0.987,0.615,0.792,33.369,4.563,3.889,2.756,5.592,1.187,4.374,1.589,7.441,6.279,14.101,11.17,1.024,42.765,48.032,3.062,4.434,2.23,3.765,4.231,6.807,0.729,0.537,0.596,1.599,0.93
"24",NA,NA,NA,NA,NA,6.114,NA,4.347,NA,4.034,NA,3.979,NA,3.483,NA,4.73,8.803,NA,7.09,7.652,NA,4.163,NA,NA,3.922,5.418,NA,NA,NA,NA,NA
"25",1.061,1.435,1.465,1.269,5.009,2.327,0.937,17.623,1.576,5.218,4.386,4.779,1.162,5.153,1.781,2.282,1.403,1.304,2.474,24.792,1.142,9.176,3.221,1.543,10.075,3.483,1.001,1.256,1.284,4.84,1.272
