"","41484","43680","41602","41629","238363","43609","41618","238402","41483","238369","41604","43599","41625","43681","41486"
"1",22.105,24.097,11.881,32.193,8.833,13.769,24.425,27.849,49.657,68.041,7.383,7.286,9.217,14.569,14.585
"2",2.763,2.797,4.135,4.98,65.116,17.996,13.782,129.211,4.58,60.499,4.265,5.611,3.997,39.763,5.534
"3",12.72,10.527,12.777,34.094,9.754,34.612,7.496,15.483,44.51,18.53,13.641,12.721,5.62,27.679,7.61
"4",14.966,11.758,15.91,22.953,8.417,46.14,10.591,26.915,15.393,19.571,13.957,17.094,7.937,31.839,18.245
"5",18.017,8.565,12.465,25.079,9.162,17.544,15.119,24.952,47.899,68.534,7.481,11.254,5.962,14.539,15.429
"6",20.489,22.348,19.651,28.085,7.646,26.827,12.207,23.982,29.166,34.06,7.931,21.716,22.547,8.381,19.256
"7",16.869,20.216,NA,21.168,12.234,43.724,16.227,77.821,35.092,36.798,12.404,13.947,12.873,105.209,17.734
"8",20.475,41.007,18.56,65.566,115.707,21.711,74.356,57.466,56.796,105.614,44.727,26.656,68.741,72.48,20.281
"9",8.324,14.145,8.479,8.714,10.955,7.049,9.107,26.653,16.994,26.173,4.465,9.5,6.131,7.728,8.122
"10",15.536,47.047,21.424,45.725,6.639,20.126,50.703,44.661,132.657,42.889,46.81,1.33,9.427,18.118,18.636
"11",29.447,6.474,14.389,21.484,9.188,37.1,25.485,38.045,45.124,64.301,10.934,30.484,7.461,16.883,29.225
"12",15.758,7.251,12.018,19.494,8.64,17.72,8.425,23.764,19.074,19.981,5.556,10.194,9.997,10.448,10.645
"13",19.461,14.702,23.312,25.21,11.189,24.768,18.344,24.256,25.594,80.318,7.958,78.157,11.039,17.26,11.411
"14",9.641,18.55,3.873,5.16,129.253,12.394,7.767,15.723,33.15,8.801,6.551,13.108,9.475,12.485,9.742
"15",28.024,22.876,43.778,62.665,12.121,21.637,34.939,46.554,43.424,69.949,10.429,20.06,277.78,NA,18.805
"16",22.745,19.055,21.928,25.023,10.34,24.93,23.205,57.26,32.515,34.868,11.677,21.833,9.46,16.592,78.451
"17",16.854,79.354,17.762,13.157,6.471,93.837,40.896,23.431,22.391,15.92,5.614,10.955,7.48,36.733,9.631
"18",9.652,88.429,10.341,18.283,4.605,NA,27.037,69.653,19.178,21.019,3.822,7.845,5.392,10.228,196.699
"19",26.259,17.547,30.862,58.131,19.38,154.358,33.206,62.377,27.9,33.144,8.172,12.993,11.645,15.897,11.558
"20",24.847,15.797,17.659,37.895,9.995,18.596,48.563,22.759,69.284,38.635,6.478,9.214,6.05,15.573,26.035
"21",19.528,35.483,14.055,71.223,111.057,49.424,71.326,32.193,52.889,18.473,29.496,65.779,61.302,7.297,10.033
"22",4.59,254.096,19.53,98.898,17.055,17.952,6.891,33.476,58.01,36.489,9.767,13.065,6.963,28.582,41.333
"23",12.723,13.68,43.427,22.566,17.337,18.331,14.404,26.442,31.167,27.002,8.088,13.149,6.188,10.468,12.459
"24",34.139,10.177,13.993,25.543,18.612,28.162,11.705,23.948,51.569,16.196,9.524,12.036,5.786,61.878,30.747
"25",23.415,23.891,320.934,46.39,22.298,21.304,156.778,NA,NA,17.543,14.161,23.295,9.418,115.215,14.814
"26",20.228,9.371,27.638,23.595,9.236,12.13,17.635,32.833,27.749,25.646,13.667,7.922,7.071,10.787,11.685
"27",20.517,16.889,108.646,30.954,19.203,28.742,15.692,28.303,98.131,29.641,109.127,28.506,14.503,18.786,32.893
"28",25.039,8,8.297,20.358,9.069,17.376,17.068,18.605,18.046,20.001,7.19,9.285,8.393,14.396,14.468
"29",22.753,60.925,17.843,28.903,8.924,39.02,116.977,54.668,77.454,74.638,6.327,14.45,13.491,17.055,13.739
"30",16.798,14.625,12.856,33.59,6.934,10.119,118.143,33.427,24.978,68.392,4.59,9.464,4.992,12.012,20.054
"31",14.111,7.363,15.42,11.834,9.374,8.203,6.353,12.337,16.468,17.483,6.495,7.494,4.933,9.197,6.248
"32",26.027,32.777,13.808,12.246,13.246,17.277,401.871,27.433,28.464,31.667,9.277,7.699,6.949,30.542,11.621
"33",27.876,27.882,26.615,45.055,11.288,24.697,15.615,252.357,105.782,43.271,14.092,22.305,15.303,13.474,27.133
"34",29.917,32.979,36.639,26.259,28.602,42.512,52.992,33.185,35.102,46.814,13.197,26.731,38.163,7.837,22.511
"35",33.517,8.696,18.447,14.726,10.471,8.192,14.776,36.05,58.259,49.868,5.315,7.259,9.399,5.197,16.781
"36",19.105,17.187,29.933,21.042,4.529,11.349,11.802,29.699,26.142,23.789,6.621,8.354,5.72,46.67,7.875
"37",24.632,45.067,12.628,17.736,34.411,12.839,38.727,22.907,26.927,20.947,8.431,22.34,12.899,8.044,23.46
