"","582647","582645","524437","582648","524440","582643","582646","524421","524438","582649","524439","524419","582644","582650","524418","582651","524436","524420"
"1",10.431,28.971,17.257,7.645,6.744,4.965,8.299,6.07,24.525,5.703,13.933,4.289,4.133,12.556,13.184,6.416,5.976,8.789
"2",36.833,12.01,49.27,20.873,103.269,21.029,98.765,68.695,54.349,26.114,156.402,14.033,11.409,115.887,24.72,16.936,40.283,13.905
"3",3.565,3.54,32.84,1.751,5.966,2.979,5.308,0.595,4.742,2.949,4.891,3.216,2.761,2.74,10.122,12.907,0.549,1.309
"4",8.344,8.875,6.657,5.468,13.219,5.469,7.531,8.14,8.329,6.657,13.156,6.156,11.172,41.375,6.906,12.922,7.312,4.406
"5",17.517,4.207,10.019,4.798,NA,32.437,7.888,7.12,5.047,5.302,4.656,3.996,7.072,9.751,7.703,9.711,5.563,7.031
"6",17.707,9.2,3.772,4.665,5.392,5.296,7.843,2.037,6.011,2.189,8.041,3.11,2.54,14.636,11.213,10.437,1.612,4.637
"7",8.5,6.735,8.625,6.75,12.718,231.656,11.234,12.047,83.234,5.64,27.813,7.235,9.391,22.859,10.296,9.969,6.281,11.329
"8",25.326,8.752,22.484,16.833,57.614,7.623,43.065,9.737,36.229,17.723,36.928,6.792,3.055,26.698,5.669,24.33,110.455,11.373
"9",6.567,6.245,6.851,4.188,6.804,11.962,8.235,4.91,5.297,6.302,5.987,7.802,4.834,15.911,7.955,11.569,6.475,6.303
"10",6.466,10.59,8.168,5.995,10.956,23.347,6.155,4.286,10.103,11.909,4.592,4.601,9.597,20.799,19.946,18.524,2.463,7.317
"11",5.146,4.342,6.953,4.877,NA,7.337,4.834,5.091,9.598,3.099,5.383,4.03,3.529,16.189,13.535,8.658,11.031,5.185
"12",6.469,38.235,6.441,7.689,4.163,11.291,10.704,6.031,6.605,5.325,5.999,6.135,5.778,37.551,9.334,9.288,7.453,5.792
"13",4.675,4.256,9.36,7.521,NA,12.615,6.514,50.761,39.316,3.657,16.304,23.161,5.489,82.191,9.189,8.15,27.193,16.48
"14",5.275,8.634,9.469,4.325,20.714,5.531,6.375,2.599,3.345,3.207,4.494,4.129,3.737,17.469,9.598,7.793,13.805,3.588
"15",5.702,4.476,4.837,4.677,21.074,6.321,4.932,3.053,3.492,4.645,5.33,3.149,4.405,17.572,14.54,8.098,5.892,3.254
"16",2.79,4.955,2.761,2.465,29.642,3.313,2.1,0.718,6.951,1.465,2.555,0.003,0.662,13.383,3.653,23.382,1.212,2.693
"17",144.703,179.544,114.695,21.211,442.922,4.463,77.143,15.369,38.905,17.791,68.501,31.521,3.299,294.944,424.089,NA,21.663,19.963
"18",1.821,2.78,10.174,3.653,6.33,6.019,5.293,3.865,23.396,0.843,26.218,7.54,5.725,2.864,10.889,7.944,5.012,4.553
"19",5.557,1.616,38.843,1.525,4.911,7.516,8.668,5.56,21.874,6.325,429.437,3.198,7.029,3.732,14.597,13.023,0.756,88.281
"20",5.305,7.305,18.732,4.434,9.024,96.296,3.977,10.339,18.058,2.393,21.392,16.017,3.432,19.828,10.002,7.193,36.203,8.176
"21",10.118,7.108,4.739,4.07,10.15,5.264,4.758,8.918,9.268,10.773,5.334,4.164,9.86,11.829,8.736,7.719,9.977,4.134
"22",12.682,130.142,3.856,3.397,6.93,3.031,6.709,6.804,1.821,1.706,22.921,6.381,4.08,36.117,10.974,9.743,4.23,4.687
"23",7.374,13.446,6.773,131.483,13.007,67.991,147.031,2.399,4.501,2.401,3.223,85.528,11.775,21.385,117.276,52.482,16.374,26.186
"24",5.143,4.647,5.73,3.785,15.01,5.147,4.04,3.326,2.435,1.341,6.136,2.076,6.331,3.367,6.75,6.244,5.403,3.77
"25",5.174,2.629,4.341,3.174,NA,3.145,4.51,0.718,3.413,2.205,2.325,1.845,4.715,3.173,9.061,3.313,3.797,0.653
"26",2.519,8.1,4.239,3.802,6.981,78.187,6.749,1.677,2.776,6.686,25.784,1.934,2.947,77.016,7.55,5.179,1.7,1.531
"27",12.534,27.477,21.638,21.236,82.098,25.252,86.394,14.11,22.574,16.476,26.726,21.044,29.498,9.59,15.909,251.478,29.556,28.036
"28",5.352,5.758,4.863,3.761,7.749,3.497,4.223,3.061,3.366,3.182,2.612,2.925,6.056,39.416,8.904,7.317,6.873,3.575
"29",6.14,25.922,9.906,5.703,40.109,5.672,11.718,5.266,2.468,4.907,10.36,5.39,4.172,7.219,10.86,11.109,9.047,5.204
"30",11.318,18.013,NA,8.15,NA,7.313,9.582,NA,NA,7.761,NA,NA,12.346,5.479,NA,NA,NA,NA
"31",11.351,35.128,10.51,21.848,11.475,5.728,25.056,5.106,22.71,22.526,13.029,4.672,9.501,21.798,10.754,10.487,7.313,4.46
"32",8.913,5.665,35.325,3.14,118.317,29.112,7.482,4.19,212.43,4.65,7.376,14.084,2.994,20.733,28.144,10.138,6.32,2.993
"33",19.152,4.475,4.824,8.128,7.296,7.172,17.451,2.552,6.608,5.52,4.336,5.52,5.464,8.6,10.587,12.017,7.072,3.083
"34",6.196,4.343,5.811,6.048,6.527,8.482,8.967,2.786,8.732,4.604,3.592,3.512,4.278,19.519,8.45,12.353,3.399,3.712
"35",4.453,3.89,21.281,4.281,5.375,9.937,7.89,4.766,4.156,3.485,3.625,5.016,2.828,8.735,7.985,7.578,3,4.219
"36",5.867,12.866,5.514,7.034,NA,7.604,10.922,5.058,3.506,3.866,4.266,3.251,3.779,23.657,9.988,18.314,2.418,4.427
"37",32.323,3.835,28.14,35.246,NA,3.063,4.954,1.527,42.143,14.38,46.327,17.771,8.76,45.883,NA,16.851,36.326,10.769
"38",4.247,9.924,6.016,3.985,3.205,4.892,22.476,8.305,14.988,5.337,6.306,4.36,6.704,8.765,23.212,27.8,0.616,1.399
"39",9.983,6.932,6.328,19.469,14.643,16.285,9.609,13.655,4.834,6.942,69.962,40.063,41.785,62.99,8.09,7.477,15.713,9.617
"40",1.802,2.352,6.315,1.409,2.039,1.864,3.417,1.101,2.133,1.291,1.223,2.059,4.013,1.997,1.413,3.971,1.211,1.662
"41",3.23,4.643,3.305,3.566,NA,6.547,5.025,2.744,4.589,2.877,4.006,6.024,10.528,16.904,10.519,10.739,4.241,2.854
"42",10.524,10.737,20.082,6.058,183.816,12.577,47.64,2.515,4.93,6.178,6.178,3.27,10.799,87.44,11.133,13.002,2.223,4.214
"43",7.172,4.437,7.344,4.969,NA,9.547,5.625,1.859,5.578,2.954,50.985,2.672,1.766,36.531,7.859,20.437,29.453,2.187
"44",7.944,16.177,NA,NA,NA,7.778,7.582,NA,NA,11.328,NA,NA,29.785,10.296,NA,NA,NA,NA
"45",3.745,49.487,5.513,5.162,4.904,18.832,4.298,6.995,5.016,3.408,6.175,25.075,2.259,23.499,25.054,12.697,35.919,7.414
"46",28.031,35.156,22.985,13.969,NA,102.531,75.219,16.218,10.156,16.203,30.516,13.047,17.063,55.109,21.735,14.453,50.485,8.203
"47",7.234,4.607,15.556,19.416,8.049,9.484,23.768,5.514,4.496,4.324,13.124,5.635,NA,10.709,10.665,20.081,3.752,5.81
"48",11.554,13.694,8.249,7.392,20.115,6.834,6.881,10.367,4.805,6.029,5.106,5.584,10.319,17.473,13.337,23.169,1.412,4.562
"49",NA,5.849,NA,NA,NA,21.796,NA,NA,NA,NA,NA,NA,4.435,NA,NA,NA,NA,NA
"50",2.27,5.798,3.769,3.216,NA,4.774,6.138,7.263,1.296,2.142,1.128,1.162,0.632,38.658,10.745,43.72,0.675,0.647
"51",NA,NA,NA,NA,NA,8.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",4.937,13.351,4.664,4.609,5.361,19.199,5.897,2.866,2.848,19.89,3.674,2.712,11.922,5.217,15.655,16.715,8.256,3.106
"53",NA,7.531,NA,NA,NA,15.406,NA,NA,NA,NA,NA,NA,36.531,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,8.289,NA,NA,NA,NA,NA,NA,4.234,NA,NA,NA,NA,NA
