"","577447","577445","577449","577446","577451","577444","577448","577443","577450","577442"
"1",10.156,13.03,12.407,9.937,44.705,23.811,7.39,7.139,16.079,10.107
"2",7.531,17.277,5.929,11.851,4.506,1.018,7.429,4.389,11.248,7.072
"3",6.596,8.41,4.928,6.867,5.336,9.987,9.664,7.9,11.711,70.295
"4",36.369,5.738,12.606,54.035,6.084,6.654,6.733,17.475,9.215,11.995
"5",4.875,14.371,18.007,2.845,2.883,3.246,23.392,8.963,57.354,5.965
"6",5.046,5.686,6.858,9.389,4.702,6.764,16.389,17.764,14.046,35.733
"7",10.717,12.73,6.379,4.961,5.06,5.305,9.651,7.353,11.638,25.451
"8",6.843,171.645,92.297,9.594,18.167,29.179,86.842,39.93,10.851,318.375
"9",20.92,14.558,8.526,10.15,4.512,8.648,14.577,19.668,13.976,66.07
"10",8.069,11.566,3.924,11.784,5.533,5.616,12.755,6.019,12.798,18.748
"11",4.36,7.377,5.722,4.888,5.292,4.951,7.088,3.728,81.537,9.504
"12",7.334,5.011,8.714,5.246,4.221,3.514,7.159,4.115,17.702,6.286
"13",17.905,20.93,11.647,21.413,20.218,6.642,16.254,6.712,23.186,24.428
"14",10.619,11.915,8.169,8.806,13.177,5.34,52.725,8.218,54.969,21.881
"15",13.889,18.899,10.671,8.984,11.241,8.284,20.05,15.055,49.672,13.152
"16",28.633,14.098,6.284,22.671,6.36,5.739,11.901,5.783,17.845,173.331
"17",10.224,7.787,4.718,6.041,4.662,15.035,41.385,7.403,9.044,7.904
"18",8.259,57.442,37.177,8.05,3.614,7.821,25.469,6.825,17.509,5.654
"19",8.459,10.227,7.707,32.379,4.937,8.868,9.763,12.419,13.186,6.011
"20",10.53,7.269,3.359,4.83,5.203,4.75,11.105,5.118,3.4,5.206
"21",39.966,13.895,9.073,12.495,6.168,7.157,16.507,8.048,14.556,11.868
"22",10.211,31.389,4.232,10.041,8.188,4.652,7.185,49.421,5.8,14.93
"23",8.387,13.181,11.295,62.505,513.409,5.034,21.746,8.636,68.09,13.511
"24",10.283,10.18,9.272,22.356,110.563,6.998,11.242,13.261,38.077,18.443
"25",11.958,7.59,7.655,9.497,4.891,8.425,7.754,5.551,14.07,18.755
"26",11.76,15.916,15.276,11.994,14.041,4.51,18.104,7.135,14.26,8.854
"27",31.674,25.658,16.127,13.439,12.393,4.83,29.018,7.689,21.518,12.689
"28",7.534,18.67,5.066,8.503,16.243,8.226,25.89,4.639,12.738,23.532
"29",22.523,12.503,30.45,16.563,8.7,14.397,23.247,36.897,14.644,14.279
"30",25.713,8.233,4.134,5.895,4.222,13.669,5.142,12.863,7.495,12.213
"31",6.368,14.279,15.11,6.573,3.407,3.966,6.711,4.586,21.609,11.013
"32",114.642,11.1,57.472,11.815,9.619,50.108,11.15,23.085,10.999,16.704
"33",22.026,7.376,9.599,9.388,5.528,45.539,4.418,10.106,10.096,8.016
"34",9.218,5.29,5.658,7.458,5.482,4.41,9.691,9.834,10.834,12.169
"35",7.569,6.118,7.107,5.103,3.395,3.809,9.368,11.541,8.868,397.395
"36",10.297,11.86,8.688,7.625,6.203,6.86,12.625,5.125,22.031,11.047
"37",10.767,8.637,11.644,6.225,4.196,8.551,20.552,10.677,32.426,10.164
"38",31.788,7.097,5.39,7.409,11.34,3.545,11.702,6.792,12.236,13.634
"39",3.177,6.483,4.426,6.587,4.497,3.651,7.587,9.325,25.92,16.8
"40",4.826,5.105,4.276,7.023,4.639,4.337,12.095,4.439,6.272,8.895
"41",7.545,5.677,8.077,7.526,4.882,5.418,9.357,8.117,17.327,18.1
"42",4.832,6.367,5.568,6.189,5.078,4.326,9.273,5.047,11.101,10.237
"43",5.604,8.574,10.236,10.928,3.212,12.533,12.388,29.13,76.57,39.989
"44",16.206,12.443,8.624,9.615,15.455,6.145,8.587,8.968,7.248,12.286
"45",3.879,11.83,3.814,4.009,2.961,3.628,6.649,5.55,9.29,5.828
"46",144.85,12.426,11.182,81.269,8.061,11.879,10.208,17.191,9.091,50.504
"47",347.541,37.595,68.321,6.649,25.7,9.704,49.558,7.709,45.043,8.334
"48",11.618,9.462,6.556,7.79,6.337,4.29,11.102,17.321,12.024,59.806
"49",28.516,6.969,5.445,7.253,5.17,3.568,5.247,5.66,8.03,12.317
"50",7.089,13.007,6.366,12.285,10.616,4.429,15.274,12.599,12.938,20.168
"51",16.956,7.555,4.587,6.336,4.369,4.18,33.056,5.609,24.809,53.781
"52",23.073,15.332,12.215,8.249,10.645,7.478,179.045,9.698,104.279,27.353
"53",18.42,14.034,9.888,12.769,7.197,7.269,23.052,9.896,15.303,16.906
"54",8.276,21.539,7.1,5.236,4.85,11.939,6.031,6.002,8.22,9.629
"55",8.971,5.627,6.634,6.466,4.946,3.752,9.083,7.642,13.058,6.657
"56",6.796,8.386,5.07,5.996,4.177,3.985,17.662,8.793,41.984,5.042
"57",15.087,6.175,12.705,8.301,3.009,3.88,8.016,42.502,9.649,50.623
"58",143.98,5.871,4.069,6.361,3.202,12.058,10.506,16.061,6.419,7.694
"59",4.825,5.384,7.225,5.723,4.073,6.588,5.406,3.497,15.177,5.239
